Smiles
CCN1CCc2c(C1)sc(NC(=O)NCc3cccc(Cl)c3)c2C(=O)N
CCN1CCc2c(C1)sc(NC(=O)Nc3ccc(Cl)cc3)c2C#N
COc1cccc(Nc2c3ccccc3[n+](C)c4c5ccccc5[nH]c24)c1
CN1C(=O)C=C(N=C1N2CCN[C@@H](C2)c3ccc(Cl)cc3)c4ccncn4
NC(=N)NCCNC(=O)c1cn(nn1)C23CC4CC(CC(C4)C2)C3
CN(C\C=C\c1ccc(cc1)C(F)(F)F)Cc2coc3ccccc23
N=C1N(C(=Nc2ccccc12)c3ccccc3)c4ccc5OCOc5c4
COc1cc2CCN(Cc2cc1OC3CCCC3)C(=O)[C@@H]4CC[C@@H](N)CC4
COc1ccc2N(CCc2c1)c3nc(C)nc4c(Cc5ccccc5)c[nH]c34
NCCN(C(=O)c1ccc(Cl)cc1Cl)c2ccc(Cl)cc2Cl
CC(C)Cc1ncc(c2nc(cs2)C(=O)C)c(c1CN)c3ccc(C)cc3
CN1CCN(CC1)C(=O)c2cn(nn2)C34CC5CC(CC(C5)C3)C4
C[n+]1c2ccccc2c(Nc3ccc(Cl)cc3)c4[nH]c5ccccc5c14
CCN(C\C=C\c1ccc(cc1)c2ccccc2)Cc3ccc4CCCOc4c3
CN(C\C=C\c1ccc(c(F)c1)C(F)(F)F)Cc2ccc3CCCOc3c2
Cc1cc(F)ccc1Nc2c3oc4ccccc4c3[n+](C)c5ccccc25
COc1cccc2c(c3ccccc3)c4cc5ccccc5cc4nc12
FC(F)(F)c1ccc2cc3nc4ccccc4c(c5ccccc5)c3cc2c1
COc1ccc(\C=C\CN(C)Cc2coc3ccccc23)cc1
CCC[N@+]12CC[C@H](CC1)C(=C(c3ccccc3)c4ccccc4)C2
C[n+]1c2ccccc2c(Nc3ccc(F)cc3)c4[nH]c5ccccc5c14
CCOc1ccccc1Nc2c3oc4ccccc4c3[n+](C)c5ccccc25
COc1ccc2N(CCCc2c1)c3nc(C)nc4c(Cc5ccccc5)c[nH]c34
Oc1ccc(cc1O)c2nnc(NC(=O)c3ccc(Cl)cc3)s2
CC(OC(=O)[C@@H]1CC[C@@H](CN)CC1)OC(=O)[C@@H]2CC[C@@](C)(CN)CC2
COc1ccc2C(=O)C3(CCCCN3CCCCc4ccccc4)CCc2c1
O=C(C[n+]1ccc2c(c1)[nH]c3ccccc23)c4ccc5ccccc5c4
CC(C)N(C\C=C\c1ccc(cc1)c2ccccc2)Cc3ccc4CCCOc4c3
